timestamp_s,front_qr,front_qi,front_qj,front_qk,front_m1_rad,front_m2_rad,front_m1_cmd,front_m2_cmd,back_qr,back_qi,back_qj,back_qk,back_m1_rad,back_m2_rad,back_m1_cmd,back_m2_cmd
2.0483,0.139465,0.908142,0.354431,-0.17395,0.0,0.0,4.531456506506315,29.655790360899868,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,4.531456506506315,29.655790360899868
2.0683,0.139465,0.908142,0.354431,-0.174011,0.0,0.0,6.39049942610395,29.311457095903048,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,6.39049942610395,29.311457095903048
2.0884,0.139404,0.908142,0.35437,-0.17395,0.0,0.0,8.224009392472958,28.85074816209307,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,8.224009392472958,28.85074816209307
2.1085,0.139465,0.908142,0.354431,-0.17395,0.0,0.0,10.02479726231507,28.275491858665877,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,10.02479726231507,28.275491858665877
2.1285,0.139404,0.908142,0.354431,-0.17395,0.0,0.0,11.785860912675574,27.58792276607766,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,11.785860912675574,27.58792276607766
2.1486,0.139465,0.908142,0.354431,-0.17395,0.0,0.0,13.500100270234766,26.790806122504176,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,13.500100270234766,26.790806122504176
2.1686,0.139404,0.908142,0.354431,-0.174011,0.0,0.0,15.160612716969403,25.88736800151892,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,15.160612716969403,25.88736800151892
2.1887,0.139465,0.908142,0.354431,-0.17395,0.0,0.0,16.761562704190286,24.88071573957424,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,16.761562704190286,24.88071573957424
2.2088,0.139404,0.908142,0.354431,-0.17395,0.0,0.0,18.295460956939145,23.775535921890704,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,18.295460956939145,23.775535921890704
2.2288,0.139465,0.908142,0.354431,-0.17395,0.0,0.0,19.756700488398177,22.575933774967694,0.24585,-0.450317,-0.854309,0.083374,0.0,0.0,19.756700488398177,22.575933774967694
